NCBI Gene ID	Ensembl gene ID
25960	ENSG00000020181
166647	ENSG00000152990
100996333	ENSG00000256616
575	ENSG00000181790
576	ENSG00000121753
577	ENSG00000135298
101928307	ENSG00000230910
283383	ENSG00000111452
105755954	ENSG00000256151
347088	ENSG00000180264
2015	ENSG00000174837
30817	ENSG00000127507
84658	ENSG00000131355
326342	ENSG00000268758
976	ENSG00000123146
266977	ENSG00000153292
222611	ENSG00000164393
165082	ENSG00000173567
221393	ENSG00000153294
221395	ENSG00000069122
101926962	ENSG00000225730
389740	ENSG00000227582
441416	ENSG00000204818
9289	ENSG00000205336
10149	ENSG00000173698
222487	ENSG00000182885
139378	ENSG00000156920
221188	ENSG00000159618
57211	ENSG00000112414
84873	ENSG00000144820
22859	ENSG00000072071
100507373	ENSG00000267169
23266	ENSG00000117114
23284	ENSG00000150471
101927186	ENSG00000248692
64123	ENSG00000162618
84059	ENSG00000164199
124	ENSG00000187758
125	ENSG00000196616
126	ENSG00000248144
127	ENSG00000198099
128	ENSG00000197894
	
343296	ENSG00000232676
100131810	ENSG00000223694
642443	ENSG00000233859
	ENSG00000234865
130	ENSG00000172955
131	ENSG00000196344
137872	ENSG00000147576
55256	ENSG00000182551
100130936	ENSG00000235102
100288971	ENSG00000250684
100288129	ENSG00000258369
149685	ENSG00000182035
125906382	ENSG00000292223
9370	ENSG00000181092
100874095	ENSG00000226482
51094	ENSG00000159346
645220	ENSG00000232497
390503	ENSG00000258805
79602	ENSG00000006831
	
10974	ENSG00000148671
100133190	ENSG00000272734
54976	ENSG00000101220
132	ENSG00000156110
	
133	ENSG00000148926
105376544	ENSG00000254554
79924	ENSG00000128165
199800	ENSG00000224420
	
	
23394	ENSG00000101126
101927631	ENSG00000259456
22850	ENSG00000101544
84890	ENSG00000181915
134	ENSG00000163485
135	ENSG00000128271
646023	ENSG00000178803
136	ENSG00000170425
137	ENSG00000236136
	
	
140	ENSG00000282608
83440	ENSG00000159322
100287559	ENSG00000260898
141	ENSG00000144843
113622	ENSG00000153531
56985	ENSG00000170222
54936	ENSG00000116863
148	ENSG00000120907
147	ENSG00000170214
	
146	ENSG00000171873
150	ENSG00000150594
151	ENSG00000274286
152	ENSG00000184160
	
153	ENSG00000043591
154	ENSG00000169252
	
155	ENSG00000188778
11047	ENSG00000130706
158	ENSG00000239900
122622	ENSG00000185100
159	ENSG00000035687
	
	
	
	
	
	
84830	ENSG00000111863
	
	
165	ENSG00000106624
121536	ENSG00000139154
	
64782	ENSG00000181026
	
	
	
	
60312	ENSG00000196526
84740	ENSG00000272620
134265	ENSG00000157510
84632	ENSG00000169129
	
	
4301	ENSG00000130396
653483	ENSG00000198221
4299	ENSG00000172493
100506746	
2334	ENSG00000155966
100874269	ENSG00000223516
3899	ENSG00000144218
27125	ENSG00000072364
124901065	ENSG00000272023
	ENSG00000249820
246269	ENSG00000135537
166378	ENSG00000145375
79029	ENSG00000171763
	
172	ENSG00000223959
10939	ENSG00000141385
347028	ENSG00000253606
173	ENSG00000079557
125061	ENSG00000183077
174	ENSG00000081051
54812	ENSG00000119844
101927402	ENSG00000260101
175	ENSG00000038002
285500	ENSG00000250131
116987	ENSG00000157985
100506749	ENSG00000235529
116986	ENSG00000135439
100130776	ENSG00000255737
116988	ENSG00000133612
119016	ENSG00000188234
729092	ENSG00000172650
414189	ENSG00000204149
653268	ENSG00000264204
	
642517	ENSG00000204172
	
653234	ENSG00000230869
119385	ENSG00000261011
414224	ENSG00000265018
728005	ENSG00000243289
653259	ENSG00000279058
123624	ENSG00000273540
727915	ENSG00000260125
79841	ENSG00000165923
340351	ENSG00000146856
84871	ENSG00000186094
101929721	ENSG00000230114
	ENSG00000225623
60509	ENSG00000084693
100874031	ENSG00000231636
	ENSG00000229122
177	ENSG00000204305
3267	ENSG00000173744
3268	ENSG00000106351
55109	ENSG00000164252
100132380	ENSG00000214273
644435	ENSG00000233435
391552	ENSG00000241532
100129351	ENSG00000261689
100128103	ENSG00000260680
	ENSG00000259836
100132606	ENSG00000260994
100128804	ENSG00000261752
100127958	ENSG00000260427
100288774	ENSG00000282968
55750	ENSG00000006530
105375538	ENSG00000261570
359793	ENSG00000226555
392543	ENSG00000228819
178	ENSG00000162688
79814	ENSG00000116771
392636	ENSG00000187546
	
	
26523	ENSG00000092847
27161	ENSG00000123908
192669	ENSG00000126070
192670	ENSG00000134698
10554	ENSG00000204310
10555	ENSG00000169692
56894	ENSG00000160216
56895	ENSG00000026652
79992	
55326	ENSG00000155189
646231	ENSG00000234652
8540	ENSG00000018510
10551	ENSG00000106541
155465	ENSG00000173467
375790	ENSG00000188157
181	ENSG00000159723
	
	
	
183	ENSG00000135744
	
	
23287	ENSG00000135049
185	ENSG00000144891
	
186	ENSG00000180772
57085	ENSG00000177674
	
189	ENSG00000172482
64902	ENSG00000113492
	
25909	ENSG00000153207
285116	ENSG00000226121
191	ENSG00000101444
10768	ENSG00000168710
23382	ENSG00000158467
340844	
392387	ENSG00000238181
402093	ENSG00000233955
129560	ENSG00000232992
391470	ENSG00000213107
100419714	
645486	ENSG00000259465
	ENSG00000242529
27245	ENSG00000126705
	
54806	ENSG00000135541
100131814	ENSG00000231028
79026	ENSG00000124942
113146	ENSG00000185567
196	ENSG00000106546
57491	ENSG00000063438
10598	ENSG00000100591
130872	ENSG00000173209
197	ENSG00000145192
51327	ENSG00000169877
	
57379	ENSG00000111732
64853	ENSG00000186063
646050	ENSG00000230154
646890	ENSG00000251429
100128360	ENSG00000264189
	
199	ENSG00000204472
83543	ENSG00000126878
9131	ENSG00000156709
645120	ENSG00000225509
84883	ENSG00000042286
150209	ENSG00000183773
51390	ENSG00000146416
	ENSG00000249089
	
	
	
9447	ENSG00000163568
9255	ENSG00000164022
170547	ENSG00000234187
100873064	ENSG00000227177
7965	ENSG00000106305
9049	ENSG00000110711
23746	ENSG00000129221
326	ENSG00000160224
54955	ENSG00000116922
100271873	ENSG00000268257
	
	
	
55966	ENSG00000196581
389813	ENSG00000232434
84962	ENSG00000129474
107984660	ENSG00000258457
203	ENSG00000106992
204	ENSG00000004455
266920	
339736	ENSG00000242272
50808	ENSG00000147853
100419074	ENSG00000250115
100419075	ENSG00000230042
100129959	ENSG00000248722
100288319	ENSG00000228816
100873789	ENSG00000255838
	ENSG00000270941
205	ENSG00000162433
206	ENSG00000263535
100132104	ENSG00000249410
645619	ENSG00000233381
100128705	ENSG00000223621
100526416	ENSG00000217377
649288	ENSG00000235606
26289	ENSG00000154027
102157402	ENSG00000085231
	
100132086	ENSG00000256614
100128817	ENSG00000257173
122481	ENSG00000140057
158067	ENSG00000165695
221264	ENSG00000155085
642597	ENSG00000231824
8165	ENSG00000121057
	ENSG00000263004
	
10566	ENSG00000111254
8852	ENSG00000147081
9495	ENSG00000179841
9472	ENSG00000151320
9465	ENSG00000118507
10270	ENSG00000105127
26993	ENSG00000011243
646114	ENSG00000234146
10142	ENSG00000127914
11216	ENSG00000108599
11215	ENSG00000023516
	
9590	ENSG00000131016
11214	ENSG00000170776
	ENSG00000259367
158798	ENSG00000186471
8227	ENSG00000197976
139516	ENSG00000214992
	
56672	ENSG00000166452
79647	ENSG00000174574
100418731	ENSG00000257786
	ENSG00000228125
55122	ENSG00000135334
	
100216487	ENSG00000251482
80709	ENSG00000106948
254268	ENSG00000162641
10327	ENSG00000117448
231	ENSG00000085662
401982	ENSG00000229991
236	ENSG00000213452
729347	ENSG00000213785
390402	ENSG00000237876
390482	ENSG00000258685
100129769	ENSG00000225212
126242	ENSG00000266899
392525	ENSG00000231371
57016	ENSG00000198074
340888	ENSG00000213606
643582	ENSG00000263355
	
441282	ENSG00000227471
1645	ENSG00000187134
1646	ENSG00000151632
8644	ENSG00000196139
1109	ENSG00000198610
100996684	ENSG00000225418
389932	ENSG00000151631
648947	ENSG00000215267
340811	ENSG00000264006
6718	ENSG00000122787
80701	ENSG00000227776
83592	ENSG00000165568
8574	ENSG00000053371
246182	ENSG00000229020
159007	ENSG00000224341
22977	ENSG00000162482
246181	ENSG00000211454
207	ENSG00000142208
84335	ENSG00000204673
208	ENSG00000105221
10000	ENSG00000117020
	ENSG00000228939
64400	ENSG00000166971
101059924	ENSG00000271137
100130746	ENSG00000226432
100131233	ENSG00000255376
	
210	ENSG00000148218
211	ENSG00000023330
212	ENSG00000158578
	
213	ENSG00000163631
214	ENSG00000170017
	
216	ENSG00000165092
8854	ENSG00000128918
283665	ENSG00000259285
220	ENSG00000184254
101927751	ENSG00000259583
219	ENSG00000137124
10840	ENSG00000144908
	ENSG00000250218
100862662	ENSG00000246022
160428	ENSG00000136010
217	ENSG00000111275
218	ENSG00000108602
224	ENSG00000072210
221	ENSG00000006534
222	ENSG00000132746
8659	ENSG00000159423
7915	ENSG00000112294
4329	ENSG00000119711
501	ENSG00000164904
541	ENSG00000251400
542	ENSG00000232292
543	ENSG00000243853
544	ENSG00000234489
64577	ENSG00000118514
223	ENSG00000143149
126133	ENSG00000161618
5832	ENSG00000059573
	
226	ENSG00000149925
391538	ENSG00000242849
228	ENSG00000214297
229	ENSG00000136872
230	ENSG00000109107
	ENSG00000265168
	
	
	
	
56052	ENSG00000033011
200810	ENSG00000189366
644974	ENSG00000251287
100132066	ENSG00000251087
647415	ENSG00000226943
339879	ENSG00000238278
728263	ENSG00000251271
645015	ENSG00000227620
285407	ENSG00000254978
	ENSG00000254016
	ENSG00000249889
100421097	ENSG00000250794
	ENSG00000253981
100996649	ENSG00000250268
730086	ENSG00000242017
85365	ENSG00000119523
10195	ENSG00000214160
442131	ENSG00000251568
29880	ENSG00000120697
29929	ENSG00000088035
79053	ENSG00000159063
79796	ENSG00000086848
	ENSG00000254450
84920	ENSG00000139133
144245	ENSG00000175548
440138	ENSG00000253710
79087	ENSG00000182858
79868	ENSG00000101901
	ENSG00000229487
199857	ENSG00000172339
101928098	ENSG00000230427
238	ENSG00000171094
389658	ENSG00000196711
285016	ENSG00000189292
8846	ENSG00000100601
121642	ENSG00000189046
221120	ENSG00000166199
100507300	ENSG00000244926
54784	ENSG00000160993
54890	ENSG00000091542
84964	ENSG00000239382
84266	ENSG00000125652
91801	ENSG00000137760
55821	ENSG00000151360
7840	ENSG00000116127
100874291	ENSG00000230002
200420	ENSG00000163016
240	ENSG00000012779
241	ENSG00000132965
239	ENSG00000108839
100506713	ENSG00000215067
242	ENSG00000179477
243	ENSG00000264958
245	ENSG00000262943
246	ENSG00000161905
247	ENSG00000179593
100652883	ENSG00000274114
642959	ENSG00000188101
59344	ENSG00000179148
100420216	ENSG00000275011
251	ENSG00000163286
248	ENSG00000163295
80216	ENSG00000073331
115701	ENSG00000198796
57538	ENSG00000136383
249	ENSG00000162551
250	ENSG00000163283
	
	
	
57679	ENSG00000003393
259173	ENSG00000178038
	
	
	
	
	
	
	
	
	
	
	
8092	ENSG00000180318
257	ENSG00000156150
60529	ENSG00000052850
10189	ENSG00000183684
23600	ENSG00000242110
	ENSG00000280228
258	ENSG00000178522
259	ENSG00000106927
55626	ENSG00000110497
	
	
	
262	ENSG00000123505
100133024	ENSG00000228339
263	ENSG00000237801
728931	ENSG00000249286
100129761	ENSG00000215124
	
144193	ENSG00000139344
51005	ENSG00000162066
	
265	ENSG00000125363
266	ENSG00000099721
139285	ENSG00000184675
219287	ENSG00000165566
205147	ENSG00000178171
267	ENSG00000159461
268	ENSG00000104899
269	ENSG00000135409
57463	ENSG00000181754
347902	ENSG00000139211
386724	ENSG00000176020
	
9949	ENSG00000101935
	ENSG00000224142
83607	ENSG00000144233
100420921	ENSG00000233273
81693	ENSG00000166126
196394	ENSG00000151743
154796	ENSG00000126016
154810	ENSG00000166025
51421	ENSG00000114019
270	ENSG00000116748
271	ENSG00000116337
272	ENSG00000133805
273	ENSG00000078053
	
275	ENSG00000145020
401138	ENSG00000187689
276	ENSG00000237763
277	ENSG00000174876
278	ENSG00000187733
279	ENSG00000243480
280	ENSG00000240038
281	ENSG00000227408
155185	ENSG00000174945
51321	ENSG00000196704
201283	ENSG00000214174
100421018	ENSG00000219249
100128929	ENSG00000233807
	
	
64682	ENSG00000153107
100286979	ENSG00000233673
285074	ENSG00000231259
100420889	ENSG00000230395
730268	ENSG00000234231
100420890	ENSG00000275597
402096	ENSG00000235486
29882	ENSG00000176248
29945	ENSG00000053900
51433	ENSG00000089053
51434	ENSG00000196510
10393	ENSG00000164162
729198	ENSG00000213735
51529	ENSG00000141552
25847	ENSG00000129055
100192388	ENSG00000271298
25906	ENSG00000110200
100128808	ENSG00000231619
	ENSG00000232601
119504	ENSG00000166295
	
	
283	ENSG00000214274
23357	ENSG00000013523
90806	ENSG00000174606
284	ENSG00000154188
285	ENSG00000091879
	
51378	ENSG00000101280
	
9068	ENSG00000116194
23452	ENSG00000136859
27329	ENSG00000132855
51129	ENSG00000167772
253935	ENSG00000187151
83854	ENSG00000130812
10218	ENSG00000171819
55908	ENSG00000130173
647589	ENSG00000227059
	
	
	
	
286	ENSG00000029534
287	ENSG00000145362
105377373	ENSG00000248152
288	ENSG00000151150
105378320	ENSG00000254271
150709	ENSG00000151687
348094	ENSG00000166839
728780	ENSG00000189045
63926	ENSG00000132623
162282	ENSG00000153930
51479	ENSG00000185722
56172	ENSG00000154122
	ENSG00000272057
54882	ENSG00000131503
	ENSG00000249637
404734	ENSG00000254996
54467	ENSG00000001629
255239	ENSG00000170209
	
126549	ENSG00000160117
23141	ENSG00000176915
51281	ENSG00000144504
57037	ENSG00000106524
57763	ENSG00000164331
27063	ENSG00000148677
26287	ENSG00000165887
22881	ENSG00000135299
56311	ENSG00000106013
122416	ENSG00000156381
55608	ENSG00000088448
100505494	ENSG00000229152
29123	ENSG00000167522
100287912	ENSG00000234429
100419906	ENSG00000231686
23253	ENSG00000101745
88455	ENSG00000076513
124930	ENSG00000198720
81573	ENSG00000118454
11147	ENSG00000197568
338692	ENSG00000172932
	
54522	ENSG00000134461
26057	ENSG00000132466
102724832	ENSG00000250220
253650	ENSG00000180071
441459	ENSG00000230453
101926917	ENSG00000159712
348840	ENSG00000226435
100131031	ENSG00000217165
	ENSG00000218577
138649	ENSG00000187984
84210	ENSG00000260691
441430	ENSG00000183148
441425	ENSG00000276203
728747	ENSG00000172014
440482	ENSG00000186481
728157	ENSG00000274502
653436	ENSG00000236816
729171	ENSG00000229089
284232	ENSG00000206192
100421422	ENSG00000226695
391267	ENSG00000215559
100874392	
100132733	
100533719	
100533720	
100421427	
100421363	ENSG00000251056
391269	ENSG00000249493
400110	ENSG00000196593
728788	
102723552	ENSG00000277112
118932	ENSG00000152766
200539	ENSG00000163126
170961	ENSG00000089847
22852	ENSG00000107890
124149	ENSG00000261239
646929	ENSG00000235550
100101938	ENSG00000237636
100873882	ENSG00000229427
84079	ENSG00000105186
23243	ENSG00000206560
147463	ENSG00000154065
91074	ENSG00000148513
374860	ENSG00000180777
554226	ENSG00000163046
642460	ENSG00000175302
149992	ENSG00000224309
