gene_symbol,ensembl_gene_id,is_oncogene,is_tumor_suppressor,is_cosmic_tier_1
EBF1,ENSG00000164330,False,False,True
EGFL7,ENSG00000172889,True,False,False
EIF1AX,ENSG00000173674,False,False,False
EIF4E,ENSG00000151247,True,False,False
ELF3,ENSG00000163435,True,True,False
ELF4,ENSG00000102034,True,False,True
ELL,ENSG00000105656,True,False,True
ELOC,ENSG00000154582,False,False,False
EMSY,ENSG00000158636,True,False,False
EPCAM,ENSG00000119888,False,True,False
ERF,ENSG00000105722,False,True,False
ETNK1,ENSG00000139163,False,False,True
EZH1,ENSG00000108799,True,False,False
FANCE,ENSG00000112039,False,True,True
FANCF,ENSG00000183161,False,True,True
FANCL,ENSG00000115392,False,True,False
FEV,ENSG00000163497,False,False,True
FGF10,ENSG00000070193,True,False,False
FGF14,ENSG00000102466,False,True,False
FGF23,ENSG00000118972,True,False,False
FGF6,ENSG00000111241,True,False,False
FHIT,ENSG00000189283,False,True,True
FLI1,ENSG00000151702,True,False,True
FOXO3,ENSG00000118689,False,False,True
FUS,ENSG00000089280,True,False,True
FYN,ENSG00000010810,True,False,False
GNA12,ENSG00000146535,True,False,False
GNB1,ENSG00000078369,True,False,False
GPS2,ENSG00000132522,False,True,False
GREM1,ENSG00000166923,True,False,False
H1-3,ENSG00000124575,False,True,False
H1-4,ENSG00000168298,True,False,False
H2AC11,ENSG00000196787,False,False,False
H2AC16,ENSG00000276903,False,False,False
H2AC17,ENSG00000278677,True,False,False
H2AC6,ENSG00000180573,False,False,False
H2BC11,ENSG00000124635,False,False,False
H2BC12,ENSG00000197903,False,False,False
H2BC17,ENSG00000274641,False,False,False
H2BC4,ENSG00000180596,False,False,False
H2BC5,ENSG00000158373,False,False,False
H3-4,ENSG00000168148,False,False,False
H3-5,ENSG00000188375,False,False,False
H3C1,ENSG00000275714,False,False,False
H3C10,ENSG00000278828,False,False,False
H3C11,ENSG00000275379,False,False,False
H3C12,ENSG00000197153,False,False,False
H3C13,ENSG00000183598,False,False,False
H3C14,ENSG00000203811,False,False,False
H3C3,ENSG00000287080,False,False,False
H3C4,ENSG00000197409,False,False,False
H3C6,ENSG00000274750,False,False,False
H3C7,ENSG00000277775,False,False,False
H3C8,ENSG00000273983,False,False,False
HDAC4,ENSG00000068024,True,True,False
HDAC7,ENSG00000061273,True,False,False
HIF1A,ENSG00000100644,True,False,True
HLA-B,ENSG00000234745,False,True,False
HMGA1,ENSG00000137309,True,False,True
HMGA2,ENSG00000149948,True,False,True
HOXA11,ENSG00000005073,False,True,True
HOXB13,ENSG00000159184,True,True,False
HSP90AA1,ENSG00000080824,True,False,True
ICOSLG,ENSG00000160223,True,False,False
IFNGR1,ENSG00000027697,False,True,False
IGF1,ENSG00000017427,True,False,False
IGF2,ENSG00000167244,True,False,False
IL10,ENSG00000136634,False,False,False
INHA,ENSG00000123999,False,True,False
INPP4A,ENSG00000040933,False,False,False
INPPL1,ENSG00000165458,False,True,False
INSR,ENSG00000171105,True,False,False
IRF1,ENSG00000125347,False,True,False
IRF8,ENSG00000140968,False,True,False
IRS1,ENSG00000169047,True,False,False
JARID2,ENSG00000008083,True,True,False
KAT6A,ENSG00000083168,False,False,True
